Text,User,Hashtags,Platform_Facebook,Platform_Instagram,Platform_Twitter,Country_encoded,Sentiment_encoded,Retweets_scaled,Likes_scaled,Year,Month,Day,Hour
Sending affectionate vibes to friends and family.,FamilyLover,#Affection #FamilyLove,0,1,0,32,6,-0.9402783758472977,-0.9313103717739508,2023,2,24,16
Awe-struck by the beauty of the night sky.,Stargazer,#Awe #StarryNight,1,0,0,0,17,0.0844435676506667,0.16426084901919003,2023,2,24,20
Disappointed with the lack of progress in a personal project.,ProjectStruggle,#Disappointed #Project,0,0,1,13,54,-0.5011118286338844,-0.5661199648429038,2023,2,25,9
A surprise visit from an old friend brought tears of joy.,JoyfulReunion,#Surprise #OldFriends,0,1,0,32,174,0.52361011486408,0.529451255950237,2023,2,25,14
Embracing acceptance of life's ups and downs.,LifeAcceptance,#Acceptance #LifeJourney,1,0,0,5,0,-0.9402783758472977,-0.9313103717739508,2023,2,25,18
Overflowing adoration for a cute rescue puppy! 🐶,PuppyAdmirer,#Adoration #PuppyLove,0,0,1,31,3,0.0844435676506667,0.16426084901919003,2023,2,26,10
Anticipating the release of a much-awaited movie.,MovieBuff2,#Anticipation #MovieRelease,0,1,0,0,11,-0.20833413049160884,-0.20092955791185693,2023,2,26,7
Bitter experience at the customer service department.,CustomerWoes,#BitterExperience #CustomerService,1,0,0,32,20,-0.5011118286338844,-0.5661199648429038,2023,2,26,15
Finding calmness amidst the chaos of daily life.,CalmSoul,#Calmness #InnerPeace,0,0,1,13,26,-0.9402783758472977,-0.9313103717739508,2023,2,27,9
Confusion reigns as I try to make sense of recent events.,ConfusedMind2,#Confusion #MakingSense,0,1,0,31,37,0.52361011486408,0.529451255950237,2023,2,27,14
Excitement building up for a surprise birthday party.,BirthdayExcite,#Excitement #SurpriseParty,1,0,0,5,76,0.0844435676506667,0.16426084901919003,2023,2,27,18
Witnessed an act of kindness that made my day.,KindnessObserver,#Kindness #ActsOfKindness,0,0,1,32,119,-0.20833413049160884,-0.20092955791185693,2023,2,28,11
Pride in completing a challenging fitness challenge.,FitAchiever,#Pride #FitnessChallengeCompleted,0,1,0,31,149,1.255554360219769,1.2598320698123309,2023,2,28,16
A moment of shame for not speaking up against injustice.,ReflectiveSelf2,#Shame #Injustice,1,0,0,13,167,-0.9402783758472977,-0.9313103717739508,2023,2,28,19
Reflecting on the beauty of diversity in our world.,DiversityLover,#Acceptance #Diversity,0,0,1,0,0,0.0844435676506667,0.16426084901919003,2023,3,1,10
Excitement for a quiet evening with a good book.,BookwormJoy,#Excitement #BookTime,0,1,0,32,76,-0.5011118286338844,-0.5661199648429038,2023,3,1,13
Feeling bitter about the unfairness in the workplace.,WorkplaceWoes,#Bitter #Unfairness,0,0,1,5,20,-0.9402783758472977,-0.9313103717739508,2023,3,1,17
Calmness prevails as I practice mindfulness.,MindfulMe,#Calmness #Mindfulness,1,0,0,31,26,-0.9402783758472977,-0.9313103717739508,2023,3,2,18
Confusion surrounds me as I navigate through life's choices.,ConfusedMind3,#Confusion #LifeChoices,0,1,0,32,37,1.255554360219769,1.2598320698123309,2023,3,2,13
Excitement for a weekend road trip to explore new places.,RoadTripper2,#Excitement #WeekendAdventure,0,0,1,13,76,0.52361011486408,0.529451255950237,2023,3,2,16
Kindness witnessed today restores my faith in humanity.,KindnessPrevails2,#Kindness #HumanityRestored,1,0,0,32,119,0.0844435676506667,0.16426084901919003,2023,3,3,11
Pride in accomplishing personal and professional goals.,GoalAchiever,#Pride #Accomplishments,0,1,0,5,149,-1.379444923060711,-1.2965007787049978,2023,3,3,14
Shame for not being true to my values in a difficult situation.,ReflectiveSelf3,#Shame #Integrity,0,0,1,31,167,-0.9402783758472977,-0.9313103717739508,2023,3,3,12
"Revisiting old memories, feeling a sense of elation.",NostalgiaFan,#Elation #Memories,0,0,1,5,60,-0.20833413049160884,-0.20092955791185693,2010,5,15,15
The victory of our team brought euphoria to the city.,SportsFanatic,#Euphoria #Victory,0,1,0,32,75,-0.9402783758472977,-0.9313103717739508,2021,8,10,21
"Embracing the beauty of nature, a moment of contentment.",NatureLover2,#Contentment #Nature,1,0,0,13,40,0.52361011486408,0.529451255950237,2011,6,20,14
"Meditating by the serene lake, finding inner peace.",ZenMaster2,#Serenity #Meditation,0,0,1,31,166,-0.5011118286338844,-0.5661199648429038,2022,2,12,18
Overflowing with gratitude for life's blessings.,ThankfulHeart,#Gratitude #Blessed,0,1,0,0,90,1.255554360219769,1.2598320698123309,2012,11,25,10
"Hopeful for a brighter tomorrow, despite challenges.",OptimisticSoul,#Hope #Optimism,1,0,0,32,100,0.0844435676506667,0.16426084901919003,2013,4,5,19
Empowered to make a difference in my community.,CommunityLeader,#Empowerment #Community,0,0,1,31,66,-0.9402783758472977,-0.9313103717739508,2014,9,14,8
Compassion in action: supporting a local charity event.,CharitySupporter,#Compassion #CharityEvent,0,1,0,5,33,-0.5011118286338844,-0.5661199648429038,2015,7,18,14
"A moment of tenderness, connecting with loved ones.",LovingHeart,#Tenderness #FamilyTime,1,0,0,31,177,0.52361011486408,0.529451255950237,2016,2,23,19
Arousal of excitement as I await a special announcement.,ExcitementFan,#Arousal #Excitement,0,0,1,0,15,-0.20833413049160884,-0.20092955791185693,2017,10,30,11
Enthusiastically diving into a new project.,ProjectEnthusiast,#Enthusiasm #NewProject,0,1,0,32,71,-0.9402783758472977,-0.9313103717739508,2018,6,15,16
Feeling a sense of fulfillment after reaching a milestone.,MilestoneAchiever,#Fulfillment #Milestone,1,0,0,13,87,0.0844435676506667,0.16426084901919003,2019,3,28,18
Reverence for the beauty of a historic landmark.,HistoryLover,#Reverence #History,0,0,1,31,159,-0.5011118286338844,-0.5661199648429038,2019,11,11,15
Elation after a surprise reunion with old friends.,JoyfulReunion2,#Elation #OldFriends,0,1,0,5,60,0.52361011486408,0.529451255950237,2020,4,2,9
The euphoria of a live music concert under the stars.,MusicEnthusiast,#Euphoria #LiveMusic,1,0,0,32,75,-0.9402783758472977,-0.9313103717739508,2021,6,19,14
Contentment in the simplicity of a quiet Sunday.,SimpleJoys,#Contentment #SundayMood,0,0,1,0,40,1.255554360219769,1.2598320698123309,2010,8,15,10
Serenity found in the pages of a favorite book.,BookLover3,#Serenity #BookTime,0,1,0,31,166,0.0844435676506667,0.16426084901919003,2011,9,22,19
Gratitude for the support received during tough times.,SupportiveFriend,#Gratitude #Supportive,1,0,0,13,90,-0.9402783758472977,-0.9313103717739508,2012,3,10,8
Hopeful about the possibilities of a new journey.,JourneyOptimist,#Hope #NewBeginnings,0,0,1,5,100,-0.5011118286338844,-0.5661199648429038,2013,12,5,16
Empowerment through learning and personal growth.,GrowthSeeker,#Empowerment #PersonalGrowth,0,1,0,32,66,0.52361011486408,0.529451255950237,2014,7,20,11
Compassion towards those in need during the holidays.,HolidayHelper,#Compassion #HolidaySupport,1,0,0,32,33,-0.5011118286338844,-0.5661199648429038,2015,12,22,14
Tenderness in the warmth of a cozy winter evening.,WinterWarmth,#Tenderness #CozyEvening,0,0,1,31,177,0.52361011486408,0.529451255950237,2016,2,10,19
Arousal of excitement for an upcoming adventure.,AdventureAwaits,#Arousal #AdventureTime,0,1,0,0,15,-0.20833413049160884,-0.20092955791185693,2017,4,30,11
Enthusiasm for a creative project in the making.,CreativeSpirit,#Enthusiasm #Creativity,1,0,0,5,71,-0.9402783758472977,-0.9313103717739508,2018,9,15,16
Fulfillment in completing a challenging workout routine.,FitnessAchiever,#Fulfillment #FitnessGoals,0,0,1,13,87,0.0844435676506667,0.16426084901919003,2019,6,28,18
Reverence for the artistry displayed in a museum.,ArtAppreciator,#Reverence #ArtAppreciation,0,1,0,31,159,-0.5011118286338844,-0.5661199648429038,2020,11,11,15
Elation after achieving a personal goal.,GoalAchiever2,#Elation #PersonalAchievement,1,0,0,32,60,0.52361011486408,0.529451255950237,2021,3,2,9
Elation over discovering a hidden gem in the city.,UrbanExplorer2,#Elation #HiddenGem,0,0,1,32,60,-0.20833413049160884,-0.20092955791185693,2012,2,18,14
The euphoria of a surprise birthday celebration.,BirthdayJoy,#Euphoria #BirthdaySurprise,0,1,0,31,75,-0.9402783758472977,-0.9313103717739508,2018,11,5,21
Contentment in the simplicity of a home-cooked meal.,HomeChef,#Contentment #HomeCooking,1,0,0,13,40,0.52361011486408,0.529451255950237,2015,9,12,13
Serenity found in the melody of a peaceful piano.,MusicLover4,#Serenity #PeacefulMelody,0,0,1,5,166,-0.5011118286338844,-0.5661199648429038,2016,7,30,18
Gratitude for the supportive community around me.,CommunityLove,#Gratitude #CommunitySupport,0,1,0,32,90,1.255554360219769,1.2598320698123309,2013,4,20,10
Hopeful about the prospects of a new business venture.,EntrepreneurHope,#Hope #BusinessVenture,1,0,0,5,100,0.0844435676506667,0.16426084901919003,2017,12,8,19
Empowerment through mentoring and guiding others.,MentorEmpower,#Empowerment #Mentorship,0,0,1,31,66,-0.9402783758472977,-0.9313103717739508,2014,6,3,8
Compassion shown through acts of kindness in the community.,KindnessInAction,#Compassion #CommunityKindness,0,1,0,0,33,-0.5011118286338844,-0.5661199648429038,2019,1,15,14
Tenderness in a heartfelt message to a loved one.,LoveExpress,#Tenderness #LoveNote,1,0,0,31,177,0.52361011486408,0.529451255950237,2016,12,25,19
Arousal of excitement before a much-awaited trip.,TravelExcitement,#Arousal #TravelAdventure,0,0,1,13,15,-0.20833413049160884,-0.20092955791185693,2018,3,10,9
Enthusiasm for a new artistic project in the works.,ArtisticSpirit,#Enthusiasm #ArtisticProject,0,1,0,32,71,-0.9402783758472977,-0.9313103717739508,2020,9,17,16
Feeling a sense of fulfillment after helping others.,HelperHeart,#Fulfillment #HelpingOthers,1,0,0,5,87,0.0844435676506667,0.16426084901919003,2011,8,28,18
Reverence for the historical significance of a landmark.,HistoryBuff,#Reverence #HistoricalSite,0,0,1,0,159,-0.5011118286338844,-0.5661199648429038,2017,11,1,15
Elation after achieving a fitness milestone.,FitnessAchiever2,#Elation #FitnessMilestone,0,1,0,31,60,0.52361011486408,0.529451255950237,2019,6,15,10
The euphoria of a successful product launch.,ProductLaunchJoy,#Euphoria #ProductLaunchSuccess,1,0,0,32,75,-0.9402783758472977,-0.9313103717739508,2022,4,3,11
Contentment in the embrace of a loved one.,LovingEmbrace,#Contentment #Love,0,0,1,13,40,1.255554360219769,1.2598320698123309,2010,11,12,20
Serenity found in the beauty of a sunset by the sea.,SunsetWatcher2,#Serenity #SunsetViews,0,1,0,5,166,0.0844435676506667,0.16426084901919003,2011,7,22,18
Gratitude for the small joys that each day brings.,JoyfulHeart2,#Gratitude #SmallJoys,1,0,0,0,90,-0.9402783758472977,-0.9313103717739508,2012,3,30,11
Hopeful about the potential for personal growth.,GrowthOptimist,#Hope #PersonalDevelopment,0,0,1,31,100,-0.5011118286338844,-0.5661199648429038,2013,10,5,16
Empowerment through learning a new skill.,SkillEmpower,#Empowerment #SkillBuilding,0,1,0,13,66,0.52361011486408,0.529451255950237,2014,7,10,13
Compassion in volunteering for a local charity.,CharityVolunteer,#Compassion #VolunteerWork,1,0,0,32,33,-0.5011118286338844,-0.5661199648429038,2015,12,18,14
Tenderness in a quiet moment shared with a pet.,PetLove,#Tenderness #PetLove,0,0,1,5,177,0.52361011486408,0.529451255950237,2016,2,10,19
Arousal of excitement for an upcoming festival.,FestivalFan,#Arousal #FestivalExcitement,0,1,0,31,15,-0.20833413049160884,-0.20092955791185693,2017,9,25,11
Enthusiasm for a DIY home improvement project.,DIYEnthusiast,#Enthusiasm #HomeImprovement,1,0,0,0,71,-0.9402783758472977,-0.9313103717739508,2018,4,15,16
Fulfillment in completing a challenging puzzle.,PuzzleMaster,#Fulfillment #PuzzleChallenge,0,0,1,13,87,0.0844435676506667,0.16426084901919003,2019,11,28,18
Reverence for the wonders of nature on a hiking trail.,NatureAdmirer,#Reverence #NatureExploration,0,1,0,32,159,-0.5011118286338844,-0.5661199648429038,2020,5,11,15
Elation after a surprise reunion with a childhood friend.,ChildhoodJoy,#Elation #FriendshipReunion,1,0,0,5,60,0.52361011486408,0.529451255950237,2021,2,5,9
Suffering from despair after another setback.,StrugglingSoul,#Despair #Struggle,0,0,1,32,50,-2.129687774550292,-2.255125596898996,2021,3,10,8
"Overwhelmed by grief, missing a loved one dearly.",MourningHeart,#Grief #Loss,0,1,0,5,91,-1.965000319345262,-2.0268815925670918,2022,7,5,15
Loneliness creeps in as the night grows colder.,SolitarySoul,#Loneliness #Isolation,1,0,0,31,121,-1.6722226212029865,-1.6616911856360448,2019,11,18,21
Jealousy consumes me as I witness others' success.,EnviousObserver,#Jealousy #Envy,0,0,1,13,114,-1.379444923060711,-1.2965007787049978,2020,8,12,11
Resentment building up over past betrayals.,BitterHeart,#Resentment #Bitterness,0,1,0,0,157,-2.1113891684164,-2.0268815925670918,2018,5,22,14
Frustration mounts as obstacles block my path.,BlockedGoals,#Frustration #Obstacles,1,0,0,32,86,-1.6722226212029865,-1.6616911856360448,2017,1,30,16
"Boredom sets in, the day feels endlessly dull.",BoredMind,#Boredom #LackOfInterest,0,0,1,5,24,-1.965000319345262,-2.0268815925670918,2016,9,28,19
"Anxiety grips my heart, worry clouds my thoughts.",WorriedMind,#Anxiety #Worry,0,1,0,31,12,-1.379444923060711,-1.2965007787049978,2019,4,15,9
Intimidation by the unknown future ahead.,FearfulSoul,#Intimidation #Fear,1,0,0,13,110,-0.9402783758472977,-0.9313103717739508,2021,12,3,18
Helplessness sinks in as challenges pile up.,OverwhelmedHeart,#Helplessness #Overwhelmed,0,0,1,0,99,-1.965000319345262,-2.0268815925670918,2020,6,20,14
Envy eats away at me as I see others' prosperity.,CovetousMind,#Envy #Desire,0,1,0,5,74,-1.6722226212029865,-1.6616911856360448,2018,11,7,11
Regret over missed opportunities haunts my thoughts.,RemorsefulSoul,#Regret #MissedChances,1,0,0,31,153,-1.379444923060711,-1.2965007787049978,2017,8,25,16
Disgust at the sight of injustice and cruelty.,DisgustedHeart,#Disgust #Injustice,0,0,1,13,56,-2.1113891684164,-2.0268815925670918,2019,2,11,9
"Drowning in despair, hope slipping through my fingers.",HopelessHeart,#Despair #Hopeless,0,1,0,32,50,-1.6722226212029865,-1.6616911856360448,2016,4,2,20
"Grief weighs heavy, tears a constant companion.",TearfulSoul,#Grief #Tears,1,0,0,5,91,-1.379444923060711,-1.2965007787049978,2015,10,18,15
"Loneliness in a crowded room, a silent cry for connection.",IsolatedMind,#Loneliness #SeekingConnection,0,0,1,31,121,-0.9402783758472977,-0.9313103717739508,2019,7,12,18
"Jealousy gnaws at my confidence, a toxic emotion.",SelfDoubt,#Jealousy #Insecurity,0,1,0,13,114,-1.965000319345262,-2.0268815925670918,2018,6,3,16
"Resentment festers, poisoning relationships.",BrokenTrust,#Resentment #BrokenTrust,1,0,0,0,157,-1.6722226212029865,-1.6616911856360448,2022,1,15,12
"Frustration boils over, a volcanic eruption of emotions.",ExplosiveMind,#Frustration #EmotionalOutburst,0,0,1,32,86,-1.379444923060711,-1.2965007787049978,2017,4,10,14
